Antecedent,Consequent,Confidence,Support,Object List
"[SaltMarsh_Suaeda nudiflora, True Mangrove_Avicennia alba, True Mangrove_Phoenix paludosa, SaltMarsh_Aeluropus lagopoides , Mangrove Associates _Excoecaria agallocha, SaltMarsh_Heliotrophium curassavicum]",SaltMarsh_Suaeda maritima ,0.8333333333333334,6,"[Chottohardi, Thakuran, Saptamukhi, NetidhoPani, Ajmalmari, Panchmukhani]"
"[True Mangrove_Raizophora mucronata, MangroveAssociate _Derris scandens, True Mangrove_Ceriops decandra, Semi Mangrove_Sarcolobus globosus, Mangrove Associate_Acanthus volubilis, True Mangrove_Xylocarpus granatum, True Mangrove_Avicennia alba, True Mangrove_Phoenix paludosa, True Mangrove_Kandelia candle, Mangrove  Associate _Finlaysonia  obovata, True Mangrove_Avicennia officinalis, True Mangrove_Aegiceras corniculatum, Mangrove Associates _Excoecaria agallocha, True Mangrove_Xylocarpus mekongensis, True Mangrove_Raizophora apiculata, Ture Mangrove_Bruguiera  gymnorhiza, Semi Mangrove_Tylophora tenuis]",SaltMarsh_Suaeda maritima ,0.7142857142857143,7,"[Chandkhali, Chamta, NetidhoPani, Ajmalmari, Panchmukhani, Dhulibhasani, Matla]"
"[True Mangrove_Raizophora mucronata, MangroveAssociate _Derris scandens, True Mangrove_Ceriops decandra, Semi Mangrove_Sarcolobus globosus, Mangrove Associate_Acanthus volubilis, True Mangrove_Xylocarpus granatum, SaltMarsh_Suaeda nudiflora, True Mangrove_Avicennia alba, True Mangrove_Phoenix paludosa, True Mangrove_Kandelia candle, Mangrove  Associate _Finlaysonia  obovata, SaltMarsh_Aeluropus lagopoides , True Mangrove_Avicennia officinalis, True Mangrove_Aegiceras corniculatum, Mangrove Associates _Excoecaria agallocha, True Mangrove_Xylocarpus mekongensis, True Mangrove_Raizophora apiculata, Ture Mangrove_Bruguiera  gymnorhiza, Semi Mangrove_Tylophora tenuis]",SaltMarsh_Heliotrophium curassavicum,0.75,4,"[NetidhoPani, Ajmalmari, Panchmukhani, Dhulibhasani]"
"[True Mangrove_Sonneratia griffithii, SaltMarsh_Suaeda maritima , True Mangrove_Avicennia alba, True Mangrove_Aegialitis rotundifolia, True Mangrove_Phoenix paludosa, SaltMarsh_Aeluropus lagopoides , Ture Mangrove_Avicennia marina, Mangrove Associates _Excoecaria agallocha, True Mangrove_Bruguiera parviflora, True Mangrove_Ceriops tagal, True Mangrove_Bruguiera cylindrica]",SaltMarsh_Suaeda nudiflora,0.8571428571428571,7,"[Chottohardi, Mayadwip, Thakuran, Bagmara, Saptamukhi, Chulkati, Gona]"
"[True Mangrove_Raizophora mucronata, MangroveAssociate _Derris scandens, True Mangrove_Ceriops decandra, Semi Mangrove_Sarcolobus globosus, Mangrove Associate_Acanthus volubilis, True Mangrove_Xylocarpus granatum, SaltMarsh_Suaeda nudiflora, True Mangrove_Avicennia alba, True Mangrove_Phoenix paludosa, True Mangrove_Kandelia candle, Mangrove  Associate _Finlaysonia  obovata, True Mangrove_Avicennia officinalis, True Mangrove_Aegiceras corniculatum, Mangrove Associates _Excoecaria agallocha, True Mangrove_Xylocarpus mekongensis, True Mangrove_Raizophora apiculata, Ture Mangrove_Bruguiera  gymnorhiza, Semi Mangrove_Tylophora tenuis]",SaltMarsh_Aeluropus lagopoides ,0.8,5,"[Chandkhali, NetidhoPani, Ajmalmari, Panchmukhani, Dhulibhasani]"
"[SaltMarsh_Suaeda maritima , True Mangrove_Phoenix paludosa, SaltMarsh_Aeluropus lagopoides , SaltMarsh_Tamarix dioica, True Mangrove_Avicennia officinalis, SaltMarsh_Tamarix gallica, Mangrove Associates _Excoecaria agallocha, True Mangrove_Xylocarpus mekongensis, Ture Mangrove_Bruguiera  gymnorhiza, SaltMarsh_Tamarix troupii]",SaltMarsh_Suaeda nudiflora,0.875,8,"[Khatuajhuri, Harinbhaga, NetidhoPani, Arbesi, Jhilla, Panchmukhani, Phirkhali, Matla]"
"[SaltMarsh_Suaeda nudiflora, True Mangrove_Phoenix paludosa, SaltMarsh_Aeluropus lagopoides , True Mangrove_Avicennia officinalis, Mangrove Associates _Excoecaria agallocha, True Mangrove_Xylocarpus mekongensis, SaltMarsh_Heliotrophium curassavicum, Ture Mangrove_Bruguiera  gymnorhiza]",SaltMarsh_Suaeda maritima ,0.8571428571428571,7,"[Herobhanga, NetidhoPani, Ajmalmari, Arbesi, Jhilla, Panchmukhani, Phirkhali]"
"[SaltMarsh_Suaeda maritima , SaltMarsh_Suaeda nudiflora, True Mangrove_Phoenix paludosa, SaltMarsh_Aeluropus lagopoides , SaltMarsh_Tamarix dioica, True Mangrove_Avicennia officinalis, SaltMarsh_Tamarix gallica, Mangrove Associates _Excoecaria agallocha, True Mangrove_Xylocarpus mekongensis, Ture Mangrove_Bruguiera  gymnorhiza, SaltMarsh_Tamarix troupii]",SaltMarsh_Heliotrophium curassavicum,0.7142857142857143,7,"[Khatuajhuri, Harinbhaga, NetidhoPani, Arbesi, Jhilla, Panchmukhani, Phirkhali]"
"[True Mangrove_Sonneratia griffithii, SaltMarsh_Suaeda nudiflora, True Mangrove_Avicennia alba, True Mangrove_Aegialitis rotundifolia, True Mangrove_Phoenix paludosa, SaltMarsh_Aeluropus lagopoides , Ture Mangrove_Avicennia marina, Mangrove Associates _Excoecaria agallocha, True Mangrove_Bruguiera parviflora, True Mangrove_Ceriops tagal, True Mangrove_Bruguiera cylindrica]",SaltMarsh_Suaeda maritima ,0.8571428571428571,7,"[Chottohardi, Murganga, Thakuran, Bagmara, Saptamukhi, Chulkati, Gona]"
"[True Mangrove_Raizophora mucronata, MangroveAssociate _Derris scandens, SaltMarsh_Tamarix gallica, True Mangrove_Ceriops decandra, Semi Mangrove_Sarcolobus globosus, Mangrove Associate_Acanthus volubilis, SaltMarsh_Tamarix troupii, True Mangrove_Xylocarpus granatum, SaltMarsh_Suaeda maritima , True Mangrove_Avicennia alba, True Mangrove_Phoenix paludosa, True Mangrove_Kandelia candle, Mangrove  Associate _Finlaysonia  obovata, SaltMarsh_Tamarix dioica, True Mangrove_Avicennia officinalis, True Mangrove_Aegiceras corniculatum, Mangrove Associates _Excoecaria agallocha, True Mangrove_Xylocarpus mekongensis, True Mangrove_Raizophora apiculata, Ture Mangrove_Bruguiera  gymnorhiza, Semi Mangrove_Tylophora tenuis]",SaltMarsh_Aeluropus lagopoides ,0.75,4,"[Chandkhali, NetidhoPani, Panchmukhani, Matla]"
"[SaltMarsh_Suaeda maritima , SaltMarsh_Suaeda nudiflora, True Mangrove_Avicennia alba, True Mangrove_Phoenix paludosa, Mangrove Associates _Excoecaria agallocha]",SaltMarsh_Aeluropus lagopoides ,0.8888888888888888,9,"[Chottohardi, Chandkhali, Thakuran, Bagmara, Saptamukhi, NetidhoPani, Chulkati, Panchmukhani, Gona]"
"[True Mangrove_Raizophora mucronata, MangroveAssociate _Derris scandens, SaltMarsh_Tamarix gallica, True Mangrove_Ceriops decandra, Semi Mangrove_Sarcolobus globosus, Mangrove Associate_Acanthus volubilis, SaltMarsh_Tamarix troupii, True Mangrove_Xylocarpus granatum, SaltMarsh_Suaeda maritima , True Mangrove_Avicennia alba, True Mangrove_Phoenix paludosa, True Mangrove_Kandelia candle, Mangrove  Associate _Finlaysonia  obovata, SaltMarsh_Tamarix dioica, True Mangrove_Avicennia officinalis, True Mangrove_Aegiceras corniculatum, Mangrove Associates _Excoecaria agallocha, True Mangrove_Xylocarpus mekongensis, True Mangrove_Raizophora apiculata, Ture Mangrove_Bruguiera  gymnorhiza, Semi Mangrove_Tylophora tenuis]",SaltMarsh_Suaeda nudiflora,0.75,4,"[Chandkhali, NetidhoPani, Panchmukhani, Matla]"
"[True Mangrove_Phoenix paludosa, SaltMarsh_Aeluropus lagopoides , Mangrove Associates _Excoecaria agallocha]",True Mangrove_Avicennia alba,0.7,20,"[Khatuajhuri, Mayadwip, Thakuran, Harinbhaga, Saptamukhi, Herobhanga, Chamta, NetidhoPani, Chulkati, Jhilla, Phirkhali, Chottohardi, Murganga, Bagmara, Ajmalmari, Arbesi, Panchmukhani, Gona, Dhulibhasani, Matla]"
"[SaltMarsh_Suaeda maritima , SaltMarsh_Suaeda nudiflora, True Mangrove_Phoenix paludosa, SaltMarsh_Tamarix dioica, True Mangrove_Avicennia officinalis, SaltMarsh_Tamarix gallica, Mangrove Associates _Excoecaria agallocha, True Mangrove_Xylocarpus mekongensis, Ture Mangrove_Bruguiera  gymnorhiza, SaltMarsh_Tamarix troupii]",SaltMarsh_Aeluropus lagopoides ,0.875,8,"[Khatuajhuri, Chandkhali, Harinbhaga, NetidhoPani, Arbesi, Jhilla, Panchmukhani, Phirkhali]"
