"","row","col","value"
"1","Acanthus ilicifolius Linnaeus","Acanthus ilicifolius Linnaeus",0
"2","Avicennia alba Blume","Acanthus ilicifolius Linnaeus",21.9730583841415
"3","Avicennia marina (Forsk.) Vierh","Acanthus ilicifolius Linnaeus",21.9730583841415
"4","Avicennia officinalis L.","Acanthus ilicifolius Linnaeus",21.9730583841415
"5","Nypa fruticans (Thunb.) Wurmb. ","Acanthus ilicifolius Linnaeus",73.192453793852
"6","Lumnitzera racemosa Willd.","Acanthus ilicifolius Linnaeus",73.192453793852
"7","Exocoecaria agallocha L.","Acanthus ilicifolius Linnaeus",73.192453793852
"8","Cynometra ramiflora L.","Acanthus ilicifolius Linnaeus",73.192453793852
"9","Sonneratia alba J. Smith","Acanthus ilicifolius Linnaeus",73.192453793852
"10","Sonneratia caeseolaris (L.) Engl.","Acanthus ilicifolius Linnaeus",73.192453793852
"11","sonneratia apetala Buch. - Ham","Acanthus ilicifolius Linnaeus",73.192453793852
"12","Sonneratia griffithi Kurz ","Acanthus ilicifolius Linnaeus",73.192453793852
"13","Heritiera globosa Kostermans","Acanthus ilicifolius Linnaeus",73.192453793852
"14","Heritiera fomes Buch.-Ham","Acanthus ilicifolius Linnaeus",73.192453793852
"15","Heritiera littoralis Dryand","Acanthus ilicifolius Linnaeus",73.192453793852
"16","Xylocarpus granatum J. Konig","Acanthus ilicifolius Linnaeus",73.192453793852
"17","Xylocarpus mekongensis Pierre. ","Acanthus ilicifolius Linnaeus",73.192453793852
"18","Xylocarpus moluccensis (Lamk.)","Acanthus ilicifolius Linnaeus",73.192453793852
"19","Phoenix paludosa Roxb.","Acanthus ilicifolius Linnaeus",100
"20","Aegialitis rotundifolia Roxb.","Acanthus ilicifolius Linnaeus",73.192453793852
"21","Aegiceras corniculatum (L.) Blanco","Acanthus ilicifolius Linnaeus",73.192453793852
"22","Acrostichum aureum L.","Acanthus ilicifolius Linnaeus",100
"23","Bruguiera cylindrica (L.) Blume","Acanthus ilicifolius Linnaeus",73.192453793852
"24","Bruguiera gymnorrhiza (L.) Savigny","Acanthus ilicifolius Linnaeus",73.192453793852
"25","Bruguiera sexangula (Lour.) Poir.","Acanthus ilicifolius Linnaeus",73.192453793852
"26","Bruguiera parviflora","Acanthus ilicifolius Linnaeus",73.192453793852
"27","Ceriops decandra (Griff) Ding Hou","Acanthus ilicifolius Linnaeus",73.192453793852
"28","Ceriops tagal (Perr. C. B. Roby)","Acanthus ilicifolius Linnaeus",73.192453793852
"29","Kandelia candel Druce","Acanthus ilicifolius Linnaeus",73.192453793852
"30","Rhizophora apiculata Blume","Acanthus ilicifolius Linnaeus",73.192453793852
"31","Rhizophorata mucronata Lamk","Acanthus ilicifolius Linnaeus",73.192453793852
"32","Rhizophora annamalayana Kathiresan","Acanthus ilicifolius Linnaeus",73.192453793852
"33","Scyphiphora hydrophyllacea C. F. Gaertn","Acanthus ilicifolius Linnaeus",73.192453793852
"34","Brownlowia tersa (L.) Kosterm ","Acanthus ilicifolius Linnaeus",73.192453793852
"35","Acanthus ilicifolius Linnaeus","Avicennia alba Blume",21.9730583841415
"36","Avicennia alba Blume","Avicennia alba Blume",0
"37","Avicennia marina (Forsk.) Vierh","Avicennia alba Blume",17.7402879305392
"38","Avicennia officinalis L.","Avicennia alba Blume",17.7402879305392
"39","Nypa fruticans (Thunb.) Wurmb. ","Avicennia alba Blume",73.192453793852
"40","Lumnitzera racemosa Willd.","Avicennia alba Blume",73.192453793852
"41","Exocoecaria agallocha L.","Avicennia alba Blume",73.192453793852
"42","Cynometra ramiflora L.","Avicennia alba Blume",73.192453793852
"43","Sonneratia alba J. Smith","Avicennia alba Blume",73.192453793852
"44","Sonneratia caeseolaris (L.) Engl.","Avicennia alba Blume",73.192453793852
"45","sonneratia apetala Buch. - Ham","Avicennia alba Blume",73.192453793852
"46","Sonneratia griffithi Kurz ","Avicennia alba Blume",73.192453793852
"47","Heritiera globosa Kostermans","Avicennia alba Blume",73.192453793852
"48","Heritiera fomes Buch.-Ham","Avicennia alba Blume",73.192453793852
"49","Heritiera littoralis Dryand","Avicennia alba Blume",73.192453793852
"50","Xylocarpus granatum J. Konig","Avicennia alba Blume",73.192453793852
"51","Xylocarpus mekongensis Pierre. ","Avicennia alba Blume",73.192453793852
"52","Xylocarpus moluccensis (Lamk.)","Avicennia alba Blume",73.192453793852
"53","Phoenix paludosa Roxb.","Avicennia alba Blume",100
"54","Aegialitis rotundifolia Roxb.","Avicennia alba Blume",73.192453793852
"55","Aegiceras corniculatum (L.) Blanco","Avicennia alba Blume",73.192453793852
"56","Acrostichum aureum L.","Avicennia alba Blume",100
"57","Bruguiera cylindrica (L.) Blume","Avicennia alba Blume",73.192453793852
"58","Bruguiera gymnorrhiza (L.) Savigny","Avicennia alba Blume",73.192453793852
"59","Bruguiera sexangula (Lour.) Poir.","Avicennia alba Blume",73.192453793852
"60","Bruguiera parviflora","Avicennia alba Blume",73.192453793852
"61","Ceriops decandra (Griff) Ding Hou","Avicennia alba Blume",73.192453793852
"62","Ceriops tagal (Perr. C. B. Roby)","Avicennia alba Blume",73.192453793852
"63","Kandelia candel Druce","Avicennia alba Blume",73.192453793852
"64","Rhizophora apiculata Blume","Avicennia alba Blume",73.192453793852
"65","Rhizophorata mucronata Lamk","Avicennia alba Blume",73.192453793852
"66","Rhizophora annamalayana Kathiresan","Avicennia alba Blume",73.192453793852
"67","Scyphiphora hydrophyllacea C. F. Gaertn","Avicennia alba Blume",73.192453793852
"68","Brownlowia tersa (L.) Kosterm ","Avicennia alba Blume",73.192453793852
"69","Acanthus ilicifolius Linnaeus","Avicennia marina (Forsk.) Vierh",21.9730583841415
"70","Avicennia alba Blume","Avicennia marina (Forsk.) Vierh",17.7402879305392
"71","Avicennia marina (Forsk.) Vierh","Avicennia marina (Forsk.) Vierh",0
"72","Avicennia officinalis L.","Avicennia marina (Forsk.) Vierh",17.7402879305392
"73","Nypa fruticans (Thunb.) Wurmb. ","Avicennia marina (Forsk.) Vierh",73.192453793852
"74","Lumnitzera racemosa Willd.","Avicennia marina (Forsk.) Vierh",73.192453793852
"75","Exocoecaria agallocha L.","Avicennia marina (Forsk.) Vierh",73.192453793852
"76","Cynometra ramiflora L.","Avicennia marina (Forsk.) Vierh",73.192453793852
"77","Sonneratia alba J. Smith","Avicennia marina (Forsk.) Vierh",73.192453793852
"78","Sonneratia caeseolaris (L.) Engl.","Avicennia marina (Forsk.) Vierh",73.192453793852
"79","sonneratia apetala Buch. - Ham","Avicennia marina (Forsk.) Vierh",73.192453793852
"80","Sonneratia griffithi Kurz ","Avicennia marina (Forsk.) Vierh",73.192453793852
"81","Heritiera globosa Kostermans","Avicennia marina (Forsk.) Vierh",73.192453793852
"82","Heritiera fomes Buch.-Ham","Avicennia marina (Forsk.) Vierh",73.192453793852
"83","Heritiera littoralis Dryand","Avicennia marina (Forsk.) Vierh",73.192453793852
"84","Xylocarpus granatum J. Konig","Avicennia marina (Forsk.) Vierh",73.192453793852
"85","Xylocarpus mekongensis Pierre. ","Avicennia marina (Forsk.) Vierh",73.192453793852
"86","Xylocarpus moluccensis (Lamk.)","Avicennia marina (Forsk.) Vierh",73.192453793852
"87","Phoenix paludosa Roxb.","Avicennia marina (Forsk.) Vierh",100
"88","Aegialitis rotundifolia Roxb.","Avicennia marina (Forsk.) Vierh",73.192453793852
"89","Aegiceras corniculatum (L.) Blanco","Avicennia marina (Forsk.) Vierh",73.192453793852
"90","Acrostichum aureum L.","Avicennia marina (Forsk.) Vierh",100
"91","Bruguiera cylindrica (L.) Blume","Avicennia marina (Forsk.) Vierh",73.192453793852
"92","Bruguiera gymnorrhiza (L.) Savigny","Avicennia marina (Forsk.) Vierh",73.192453793852
"93","Bruguiera sexangula (Lour.) Poir.","Avicennia marina (Forsk.) Vierh",73.192453793852
"94","Bruguiera parviflora","Avicennia marina (Forsk.) Vierh",73.192453793852
"95","Ceriops decandra (Griff) Ding Hou","Avicennia marina (Forsk.) Vierh",73.192453793852
"96","Ceriops tagal (Perr. C. B. Roby)","Avicennia marina (Forsk.) Vierh",73.192453793852
"97","Kandelia candel Druce","Avicennia marina (Forsk.) Vierh",73.192453793852
"98","Rhizophora apiculata Blume","Avicennia marina (Forsk.) Vierh",73.192453793852
"99","Rhizophorata mucronata Lamk","Avicennia marina (Forsk.) Vierh",73.192453793852
"100","Rhizophora annamalayana Kathiresan","Avicennia marina (Forsk.) Vierh",73.192453793852
